,bounceOffEdge,bubble,changeEffect,changePenHSVA,changeScale,changeSize,changeVolume,changeXPosition,changeYPosition,clear,clearEffects,createClone,customBlock,direction,doAddToList,doAsk,doBroadcast,doBroadcastAndWait,doChangeVar,doDeleteFromList,doFaceTowards,doForever,doGlide,doGotoObject,doHideVar,doIf,doIfElse,doInsertInList,doPlayNote,doPlaySoundUntilDone,doRepeat,doReplaceInList,doResetTimer,doRest,doSayFor,doSetGlobalFlag,doSetTempo,doSetVar,doSetVideoTransparency,doShowVar,doStamp,doStopAllSounds,doStopThis,doSwitchToCostume,doTellTo,doThink,doThinkFor,doUntil,doWait,doWaitUntil,doWarp,doWearNextCostume,down,evaluateCustomBlock,forward,getCostumeIdx,getLastAnswer,getScale,getTimer,getVolume,goBack,goToLayer,gotoXY,hide,list,literal,playSound,receiveGo,receiveInteraction,receiveKey,receiveMessage,receiveOnClone,reifyScript,removeClone,reportAnd,reportAttributeOf,reportColorIsTouchingColor,reportDate,reportDifference,reportDistanceTo,reportEquals,reportGreaterThan,reportJoinWords,reportKeyPressed,reportLessThan,reportLetter,reportListContainsItem,reportListItem,reportListLength,reportModulus,reportMonadic,reportMouseDown,reportMouseX,reportMouseY,reportNot,reportObject,reportOr,reportProduct,reportQuotient,reportRandom,reportRound,reportStringSize,reportSum,reportTouchingColor,reportTouchingObject,script,setColor,setEffect,setHeading,setPenHSVA,setScale,setSize,setVolume,setXPosition,setYPosition,show,snapshot,sprite,stage,turn,turnLeft,up,var,varDec,varMenu,xPosition,yPosition,zzzY
55,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,4.0,11.0,0.0,6.0,0.0,37.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,14.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,0.0,189.0,0.0,12.0,0.0,2.0,2.0,9.0,0.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,29.0,84.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,1.0,9.0,1.0,3.0,0.0,0.0,8.0,4.0,23.0,2.0,2.0,1.0
57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,30.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,1.0,6.0,1.0,0.0,0.0,3.0,1.0,7.0,1.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,6.0,2.0,191.0,4.0,6.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,82.0,0.0,4.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,1.0,12.0,1.0,0.0,0.0,0.0,36.0,8.0,27.0,0.0,1.0,1.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,3.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,64.0,2.0,5.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,27.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,1.0,2.0,1.0,0.0,6.0,7.0,9.0,0.0,0.0,0.0
59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,2.0,156.0,3.0,2.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,9.0,1.0,0.0,0.0,0.0,33.0,8.0,25.0,0.0,1.0,1.0
60,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,15.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,6.0,105.0,0.0,21.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0,17.0,0.0,0.0,2.0,5.0,0.0,0.0,79.0,14.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,83.0,49.0,0.0,0.0,5.0,11.0,1.0,0.0,1.0,0.0,149.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,130.0,98.0,667.0,0.0,65.0,53.0,0.0,10.0,1.0,49.0,5.0,65.0,0.0,0.0,0.0,1.0,0.0,156.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,0.0,1.0,0.0,1.0,456.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,129.0,1.0,59.0,1.0,1.0,0.0,0.0,23.0,16.0,24.0,64.0,64.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,3.0,0.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,24.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,247.0,48.0,331.0,0.0,40.0,16.0,8.0,0.0,0.0,24.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,44.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,1.0,13.0,0.0,3.0,0.0,0.0,13.0,11.0,0.0,2.0,12.0,31.0,4.0,19.0,5.0,75.0,1.0,63.0,8.0,0.0,34.0,15.0,1.0,76.0,143.0,53.0,1.0,0.0,7.0,66.0,0.0,0.0,0.0,4.0,0.0,0.0,220.0,0.0,55.0,0.0,8.0,19.0,56.0,7.0,0.0,0.0,10.0,30.0,35.0,0.0,1.0,0.0,158.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,11.0,52.0,57.0,46.0,1572.0,24.0,30.0,2.0,0.0,66.0,5.0,7.0,10.0,23.0,45.0,6.0,0.0,5.0,13.0,176.0,10.0,32.0,33.0,30.0,16.0,5.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,34.0,15.0,12.0,9.0,2.0,39.0,0.0,14.0,2.0,8.0,6.0,521.0,0.0,12.0,20.0,0.0,16.0,0.0,12.0,0.0,0.0,43.0,1.0,25.0,1.0,16.0,3.0,0.0,331.0,117.0,401.0,5.0,5.0,0.0
66,0.0,0.0,74.0,0.0,10.0,0.0,1.0,75.0,47.0,0.0,45.0,166.0,1.0,0.0,0.0,0.0,25.0,0.0,103.0,0.0,0.0,113.0,74.0,17.0,6.0,416.0,45.0,0.0,0.0,2.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,3.0,0.0,2.0,156.0,276.0,1.0,0.0,0.0,36.0,498.0,403.0,0.0,16.0,0.0,4.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,87.0,159.0,2.0,3893.0,96.0,66.0,0.0,0.0,104.0,63.0,1.0,90.0,60.0,10.0,0.0,0.0,14.0,0.0,602.0,60.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,20.0,0.0,22.0,5.0,0.0,130.0,0.0,0.0,22.0,0.0,119.0,1203.0,0.0,86.0,21.0,0.0,23.0,0.0,1.0,0.0,0.0,89.0,1.0,66.0,1.0,18.0,14.0,0.0,825.0,63.0,294.0,178.0,22.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,29.0,8.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,27.0,16.0,188.0,1.0,12.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,84.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,14.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,319.0,0.0,15.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,114.0,6.0,154.0,0.0,0.0,0.0
69,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,9.0,0.0,2.0,3.0,32.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,9.0,15.0,19.0,18.0,249.0,12.0,11.0,0.0,0.0,14.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1.0,0.0,1.0,67.0,0.0,6.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,16.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
70,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,7.0,0.0,0.0,30.0,34.0,9.0,2.0,26.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,22.0,9.0,107.0,5.0,0.0,0.0,0.0,114.0,0.0,0.0,4.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,81.0,10.0,738.0,24.0,24.0,0.0,2.0,88.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,17.0,223.0,0.0,2.0,21.0,0.0,25.0,0.0,0.0,0.0,0.0,43.0,1.0,22.0,1.0,0.0,0.0,0.0,14.0,1.0,13.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,48.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,177.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,107.0,30.0,164.0,1.0,2.0,9.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.0,2.0,294.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,19.0,1.0,4.0,4.0,0.0,3.0,6.0,13.0,0.0,0.0,0.0
73,29.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,22.0,0.0,0.0,30.0,0.0,1.0,0.0,30.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,38.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,27.0,26.0,9.0,1.0,2.0,0.0,30.0,0.0,0.0,2.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,106.0,18.0,625.0,2.0,44.0,11.0,19.0,104.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,275.0,1.0,12.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,43.0,1.0,1.0,0.0,1.0,0.0,2.0,25.0,0.0,0.0,0.0
74,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,39.0,2.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,34.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0
76,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,0.0,2.0,0.0,0.0,68.0,2.0,0.0,14.0,19.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,18.0,4.0,0.0,32.0,1.0,3.0,0.0,1.0,10.0,54.0,0.0,0.0,0.0,2.0,35.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,71.0,103.0,282.0,0.0,1135.0,2.0,71.0,31.0,4.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,9.0,5.0,644.0,0.0,0.0,46.0,0.0,9.0,0.0,33.0,0.0,0.0,189.0,1.0,60.0,1.0,7.0,0.0,0.0,14.0,16.0,51.0,0.0,0.0,0.0
77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,69.0,41.0,4.0,322.0,0.0,48.0,24.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,24.0,1.0,0.0,0.0,0.0,44.0,25.0,66.0,0.0,0.0,0.0
78,0.0,1.0,29.0,0.0,7.0,0.0,0.0,56.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,111.0,31.0,30.0,0.0,4.0,32.0,13.0,4.0,60.0,72.0,25.0,0.0,0.0,52.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,45.0,0.0,21.0,76.0,264.0,3.0,0.0,0.0,65.0,415.0,19.0,0.0,27.0,0.0,54.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,43.0,94.0,241.0,8.0,2322.0,51.0,89.0,4.0,0.0,251.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,135.0,10.0,2.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,20.0,0.0,8.0,0.0,0.0,20.0,0.0,13.0,736.0,0.0,43.0,19.0,0.0,24.0,0.0,3.0,37.0,15.0,159.0,1.0,78.0,1.0,2.0,1.0,0.0,144.0,27.0,252.0,26.0,0.0,1.0
79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,25.0,0.0,1.0,0.0,21.0,0.0,0.0,43.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,3.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,17.0,6.0,248.0,4.0,1.0,2.0,23.0,30.0,1.0,3.0,11.0,0.0,1.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,112.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0
